,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
2657,眠れる美女改版,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F137427%2F,波の音高い海辺の宿は、すでに男ではなくなった老人たちのための逸楽の館であった。真紅のビロードのカーテンをめぐらせた一室に、前後不覚に眠らされた裸形の若い女ーその傍らで一夜を過す老人の眠は、みずみずしい娘の肉体を透して、訪れつつある死の相を凝視している。熟れすぎた果実の腐臭に似た芳香を放つデカダンス文学の名作『眠れる美女』のほか二編。,539,3.89,文庫
2658,絶唱,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15905771%2F,五歳のとき双子の妹・毬絵は死んだ。生き残ったのは姉の雪絵ー。奪われた人生を取り戻すため、わたしは今、あの場所に向かう（「楽園」）。思い出すのはいつも、最後に見たあの人の顔、取り消せない自分の言葉、守れなかった小さな命。あの日に今も、囚われている（「約束」）。誰にも言えない秘密を抱え、四人が辿り着いた南洋の島。ここからまた、物語は動き始める。喪失と再生を描く号泣ミステリー。,649,3.74,文庫
2659,「そうじ力」であなたが輝く！,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3974816%2F,シンデレラはぞうきん１枚でお姫様になりました。あなたの住む部屋が、あなた自身なのです。今までの不幸なあなたをリセットし、幸運を呼びこもう。恋・お金・仕事…なりたい自分になる。,1430,4.61,単行本
2660,いまさら翼といわれても,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14489660%2F,神山市が主催する合唱祭の本番前、ソロパートを任されている千反田えるが行方不明になってしまった。夏休み前のえるの様子、伊原摩耶花と福部里志の調査と証言、課題曲、ある人物がついた嘘ー折木奉太郎が導き出し、ひとりで向かったえるの居場所は。そして、彼女の真意とは？（表題作）。奉太郎、える、里志、摩耶花ー“古典部”４人の過去と未来が明らかになる、瑞々しくもビターな全６篇！,1628,4.11,単行本
2661,あやうく一生懸命生きるところだった,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16131879%2F,韓国でベストセラー２５万部。毎日、走り続け疲れきったあなたへ。自分をすり減らす毎日から抜け出し“自分らしい生き方”に出会える人生エッセイ。,1595,3.67,単行本
2662,いちばんよくわかるパターンレーベルの子供服ソーイングLESSON　BOOK,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11899468%2F,ソーイングの基礎が作りながら学べる。ネットで人気の型紙ショップ、パターンレーベル第二弾。,1320,4.48,単行本
2663,風の万里　黎明の空（上）　十二国記,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F671240%2F,慶国に、玉座に就きながらも、王たる己に逡巡し、忸怩たる思いに苦悩する陽子がいた。芳国に、王と王后である父母を目前で殺され、公主の位を剥奪されて哭く祥瓊がいた。そして、才国に、蓬莱で親に捨てられ、虚海に落ちたところを拾われて後、仙のもとで苦業を強いられ、蔑まれて涙する鈴がいた。負うにはあまりある苦難の末に、安らぎと幸せを求めて、それぞれに旅立つ少女たち。その果てしない人生の門が、いま開かれる。,715,4.43,文庫
2664,山女日記,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14337334%2F,こんなはずでなかった結婚。捨て去れない華やいだ過去。拭いきれない姉への劣等感。夫から切り出された別離。いつの間にか心が離れた恋人。…真面目に、正直に、懸命に生きてきた。なのに、なぜ？誰にも言えない思いを抱え、山を登る彼女たちは、やがて自分なりの小さな光を見いだしていく。新しい景色が背中を押してくれる、感動の連作長篇。,715,3.81,文庫
2665,女子大生会計士の事件簿 DX．1　ベンチャーの王子様,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1723011%2F,あなたのキャリアや資産の命運はーすべて“会計”が握っている！キュートな女子大生会計士・藤原萌実と入所一年目の新米会計士補・柿本一麻が監査の先々で出くわす奇妙な事件。粉飾会計、会社乗っ取り、クーポン詐欺などバラエティ豊かな謎を解くうち、会計の仕組み、会社の仕組み、そして経済の仕組みがみるみる分かる！単行本未収録の短編二本を追加収録したデラックス版として、かつてない超実用的ビジネス・ミステリ待望の文庫化第一弾！さらにとにかく便利な「やさしい会計用語集」付き。,638,3.65,文庫
2666,アイスクリン強し,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11479369%2F,お江戸が東京へと変わり、ビスキット、アイスクリン、チヨコレイトなど西洋菓子が次々お目見え。築地の居留地で孤児として育った皆川真次郎は、念願の西洋菓子屋・風琴屋を開いた。今日もまた、甘いお菓子目当てに元幕臣の警官たち「若様組」がやってきて、あれやこれやの騒動が…。キュートな文明開化物語。,607,3.4,文庫
2667,バクマン。（10）,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6723674%2F,,440,4.54,コミック
2668,おでかけのまえに,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F147368%2F,,990,4.52,絵本
2669,たいせつなこと,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1375292%2F,世界中でながく愛されつづけている『おやすみなさいのほん』のマーガレット・ワイズ・ブラウンとカルデコット賞受賞画家のレナード・ワイスガードのコンビがおくる一冊。日々、目にうつるものたちを新鮮なおどろきをもって自由にとらえたこの本は、１９４９年に最初に出版されて以来おおくの人々によみつがれている。,1320,4.5,絵本
2670,英雄の書（下）,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5949211%2F,“英雄”を捕え兄を連れ戻すべく、数多の物語を旅する少女の過酷な追跡が始まるー。現代を合わせ鏡に、いまを生きる私たちの姿を描き出すファンタジー。,1760,3.53,単行本
2671,ちはやふる（7）,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6242808%2F,,495,4.61,コミック
2672,ハニービターハニー,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6216543%2F,陽ちゃんは親友の沙耶香の彼氏だ。でもわたしは彼と寝ている。沙耶香のことは大切だけれど、彼に惹かれる自分を止められないー（「友だちの彼」）。ライブでボーカルの男性に一目惚れし、誘われるままホテルへ。初体験。…あたしは本当にこういうことがしたかったの？（「もどれない」）甘やかで、ほろ苦く、胸のちぎれるような切なさをたたえた全９話。人気歌人初の恋愛小説が文庫オリジナルで登場。,594,3.59,文庫
2673,新世界,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15630172%2F,挑戦するたびにバッシングされそれでも失敗と成功を積み重ねてきたキングコング西野が向き合い続けるお金と信用、そして未来の生き方の具体的戦略。,1527,4.19,単行本
2674,イマジン？,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F16167846%2F,走るしか能のない新米突っ走る！行き先は、たぶん未来。,1760,4.18,単行本
2675,陰山英男の徹底反復 百ます計算,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1513969%2F,,660,4.59,ムックその他
2676,最高の体調,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15535425%2F,疲労・肥満・不眠・不安・病気・老化ー文明病から脱却し、本来の自分を取り戻せ！！進化医学のアプローチで、過去最高のコンディションを実現する方法。,1628,4.16,単行本
2677,嵐が丘,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1571137%2F,,990,3.87,文庫
2678,こぐまちゃんおはよう,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F200438%2F,,880,4.59,絵本
2679,40代を後悔しない50のリスト,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6965257%2F,４０代で年収が１０倍、人生の大逆転を果した著者が明かす、充実した「生き方・働き方」５０の具体策。,1571,3.73,単行本
2680,グレート・ギャツビー改版,181,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F907224%2F,,572,3.6,文庫
2681,伝える力　2,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11457905%2F,超ベストセラー『伝える力』の続編がついに登場！前作のわかりやすさはそのままに、著者がテレビや報道の現場で学んできた「もっと伝わる」話し方、書き方、聞き方を伝授する。「東日本大震災と伝える力」「総理の演説力」から、「怪しい敬語」「教科書がわかりにくい理由」、そして「池上さんの意外な過去」まで様々なトピックスを収録。もちろん、具体的なノウハウも満載の一冊。,880,3.75,新書
2682,ガダラの豚（1）,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F803821%2F,アフリカにおける呪術医の研究でみごとな業績を示す民族学学者・大生部多一郎はテレビの人気タレント教授。彼の著書「呪術パワー・念で殺す」は超能力ブームにのってベストセラーになった。８年前に調査地の東アフリカで長女の志織が気球から落ちて死んで以来、大生部はアル中に。妻の逸美は神経を病み、奇跡が売りの新興宗教にのめり込む。大生部は奇術師のミラクルと共に逸美の奪還を企てるが…。超能力・占い・宗教。現代の闇を抉る物語。まじりけなしの大エンターテイメント。日本推理作家協会賞受賞作。,704,4.15,文庫
2683,アルキメデスは手を汚さない,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4130629%2F,「アルキメデス」という不可解な言葉だけを残して、女子高生・美雪は絶命。さらにクラスメートが教室で毒殺未遂に倒れ、行方不明者も出て、学内は騒然！大人たちも巻き込んだミステリアスな事件の真相は？’７０年代の学園を舞台に、若者の友情と反抗を描く伝説の青春ミステリー。江戸川乱歩賞受賞作。,649,3.1,文庫
2684,おふとんかけたら,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6199044%2F,,935,4.51,絵本
2685,いのちのハードル,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1766725%2F,,586,4.72,文庫
2686,アジャイルサムライ,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11264116%2F,アジャイルサムライーそれはソフトウェアを顧客に届ける猛々しきプロフェッショナルだ。本書では、圧倒的なアジャイルプロジェクトの姿を見せる。,2860,4.37,単行本
2687,そうか、もう君はいないのか,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6609766%2F,彼女はもういないのかと、ときおり不思議な気分に襲われるー。気骨ある男たちを主人公に、数多くの経済小説、歴史小説を生みだしてきた作家が、最後に書き綴っていたのは亡き妻とのふかい絆の記録だった。終戦から間もない若き日の出会い、大学講師をしながら作家を志す夫とそれを見守る妻がともに家庭を築く日々、そして病いによる別れ…。没後に発見された感動、感涙の手記。,539,4.25,文庫
2688,三日間の幸福,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12613792%2F,どうやら俺の人生には、今後何一つ良いことがないらしい。寿命の“査定価格”が一年につき一万円ぽっちだったのは、そのせいだ。未来を悲観して寿命の大半を売り払った俺は、僅かな余生で幸せを掴もうと躍起になるが、何をやっても裏目に出る。空回りし続ける俺を醒めた目で見つめる、「監視員」のミヤギ。彼女の為に生きることこそが一番の幸せなのだと気付く頃には、俺の寿命は二か月を切っていた。ウェブで大人気のエピソードがついに文庫化。,715,4.29,文庫
2689,未来いそっぷ,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1777987%2F,『アリとキリギリス』『ウサギとカメ』など、誰でもごぞんじの寓話の世界。語りつがれてきた寓話も、星新一の手にかかると、ビックリ驚く大革命。時代が変れば話も変るとはいえ、古典的な物語をこんなふうに改作してしまっていいものかどうか、ちょっぴり気になりますがー。表題作など、愉しい笑いと痛烈な風刺で別世界へご案内するショート・ショート３３編。,649,3.89,文庫
2690,島はぼくらと,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14274373%2F,瀬戸内海に浮かぶ島、冴島。朱里、衣花、源樹、新の四人は島の唯一の同級生。フェリーで本土の高校に通う彼らは卒業と同時に島を出る。ある日、四人は冴島に「幻の脚本」を探しにきたという見知らぬ青年に声をかけられる。淡い恋と友情、大人たちの覚悟。旅立ちの日はもうすぐ。別れるときは笑顔でいよう。,770,4.36,文庫
2691,きょうはなんのひ？,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F21641%2F,,1320,4.73,絵本
2692,僕僕先生,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6021206%2F,舞台は中国唐代。元エリート県令である父親の財に寄りかかり、ぐうたら息子の王弁は安逸を貪っていた。ある日地元の黄土山へ出かけた王弁は、ひとりの美少女と出会う。自らを僕僕と名乗るその少女、実は何千何万年も生き続ける仙人で…不老不死にも飽きた辛辣な美少女仙人と、まだ生きる意味を知らない弱気な道楽青年が、天地陰陽を旅する大ヒット僕僕シリーズ第一弾！「日本ファンタジーノベル大賞」受賞作。,649,3.84,文庫
2693,幼年期の終わり,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5070553%2F,地球上空に、突如として現れた巨大な宇宙船。オーヴァーロード（最高君主）と呼ばれる異星人は姿を見せることなく人類を統治し、平和で理想的な社会をもたらした。彼らの真の目的とはなにか？異星人との遭遇によって新たな道を歩み始める人類の姿を哲学的に描いた傑作ＳＦ。,836,4.15,文庫
2694,BLEACH（45）,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6482062%2F,,484,4.31,コミック
2695,黒執事（9）,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6483916%2F,,660,4.43,コミック
2696,美しき愚かものたちのタブロー,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15883752%2F,すべては一枚の絵画（タブロー）から始まった。あのモネが、ルノワールが、ゴッホが！国立西洋美術館の誕生に隠された奇跡の物語。,1815,4.25,単行本
2697,3年で辞めた若者はどこへ行ったのか,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5498343%2F,すでに平成二〇年。いまだに、多くの会社で、昭和の時代から続く風習や決まりごと、働き方が支配している。『若者はなぜ３年で辞めるのか？』でその状況を描いた著者が、辞めた後の、いわば「平成的な生き方」とは何なのかを指南する。“完全実力主義の企業で数千万円稼ぐ若者”“建築現場から人事部長に転身した若者”など、アウトサイダーたちの挑戦と本音が語られる。自分がいかに昭和的価値観にとらわれているか、そして、時代が本当に変わりつつあることを実感できる。,792,3.72,新書
2698,妖怪アパートの幽雅な日常2,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6003678%2F,半年間の寮生活を経て、寿荘に舞い戻ってきた夕士。妖怪、人間入り乱れての日々がふたたび始まった。ある日手にした「魔道書」の封印を解き、妖魔たちを呼び出してしまった夕士は、除霊師の卵・秋音に素質を見込まれ、霊力アップの過酷な修行をするはめに…。大ブレイクの好評シリーズ、怒涛の第２弾。,473,3.95,文庫
2699,夏目友人帳 8,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6085580%2F,,495,4.7,コミック
2700,おやすみプンプン（1）,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4449827%2F,,555,3.97,コミック
2701,BLEACH（45）,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6482062%2F,,484,4.31,コミック
2702,どろんこハリー,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F121544%2F,,1320,4.44,絵本
2703,幸運を引きよせるスピリチュアル・ブック,180,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1328769%2F,あなたが「こんなふうになりたい」という願望を持つとき、自信と力を与えてくれます。あなたが迷ったり悩んだりしたとき、その解決法と励ましを与えてくれます。すべては人生（スピリチュアル・ワールド）からの贈り物ー必ず「答え」があります。,544,4.62,文庫
2704,サイコパス,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14513751%2F,とんでもない犯罪を平然と遂行する。ウソがバレても、むしろ自分の方が被害者であるかのようにふるまう…。脳科学の急速な進歩により、そんなサイコパスの脳の謎が徐々に明らかになってきた。私たちの脳と人類の進化に隠されたミステリーに最新科学の目で迫る！,858,3.64,新書
2705,モノレールねこ,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6087343%2F,小学生のぼくは、ねこの首輪に挟んだ手紙で「タカキ」と文通をする。ある日、ねこが車に轢かれて死に、タカキとの交流は途絶えたが…。表題作の「モノレールねこ」ほか、ザリガニの俺が、家族を見守る「バルタン最期の日」など、夫婦、親子、職場の同僚など、日常にさりげなく現われる、大切な人との絆を描いた８編。,704,3.94,文庫
2706,ビジネスマンのための「数字力」養成講座 (小宮一慶の養成講座),179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5457006%2F,発売以来、ベストセラーとなった『ビジネスマンのための「発見力」養成講座』に次ぐ本書は、まさに経営コンサルタントとして多くの企業の経営上の問題解決にあたる傍ら、テレビ等でも活躍の著者の真骨頂。ＧＤＰから自分の会社の売上げ、野立て看板の数まで、数字の表すものやさまざまな数字との関連を読み解いていくさまは、推理小説よりおもしろい！といっても、本書は、それを読んで楽しみ、単に知的に遊ぶためのものではない。数字を読むための７つの基本、５つの習慣、そして、陥りがちな罠と、豊富な実践例とともにお届けする本書は、読者が数字を自在に扱い、ビジネスに必須の把握力、発想力、推定力、目標達成力を身につけていくための、あくまでも実践の書なのである。,1100,3.82,新書
2707,世界で一番ふしぎな地図帳,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4105816%2F,世界のカラクリがわかる最強の地理雑学事典。一番知りたかった地図の「疑問」がまるごと解ける。,523,4.6,単行本
2708,怒り（上）,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13609903%2F,若い夫婦が自宅で惨殺され、現場には「怒」という血文字が残されていた。犯人は山神一也、二十七歳と判明するが、その行方は杳として知れず捜査は難航していた。そして事件から一年後の夏ー。房総の港町で働く槇洋平・愛子親子、大手企業に勤めるゲイの藤田優馬、沖縄の離島で母と暮らす小宮山泉の前に、身元不詳の三人の男が現れた。,660,3.82,文庫
2709,カモメになったペンギン,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4599099%2F,組織を変革し、成功に導くためのリーダーシップが、ペンギンのコロニーを舞台とした物語で分かりやすく示される。八段階の変革プロセスで変革を成功させる寓話シリーズ第三弾。,1320,3.8,単行本
2710,名探偵コナン 66,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6218967%2F,,499,4.56,コミック
2711,獄門島 金田一耕助ファイル　3,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F899104%2F,,616,4.04,文庫
2712,ちびまる子ちゃんの暗誦百人一首,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1624323%2F,百人一首を覚えるというと難しい印象がありますが、何度も繰り返し読んでいるうちに、季節の移りかわりや自然の美しさ、今も昔も変わりない様々な想いが感じられ、歌を読む楽しさがもっと広がることでしょう。この本で、ひとつでも好きな歌を見つけられれば、きっと心の豊かな人になれると思いますよ。小学生のためのまんが勉強本。,935,4.56,全集・双書
2713,動物化するポストモダン　オタクから見た日本社会,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1394595%2F,オタクたちの消費行動の変化が社会に与える大きな影響とは？気鋭の批評家が鋭く論じる画期的な現代日本文化論。,924,3.71,新書
2714,コんガらガっち どっちにすすむ？の本,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5977513%2F,きょうはどっちにすすむ？あそぶたびにあたらしい！なん通りもたのしめる！あのピタゴラスイッチのスタッフがおくるゆびでたどる絵本。,1320,4.64,絵本
2715,海街diary（2),179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5843802%2F,,599,4.52,コミック
2716,掏摸,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6211792%2F,お前は、運命を信じるか？東京を仕事場にする天才スリ師。彼のターゲットはわかりやすい裕福者たち。ある日、彼は「最悪」の男と再会する。男の名は木崎ーかつて一度だけ、仕事を共にしたことのある、闇社会に生きる男。木崎はある仕事を依頼してきた。「これから三つの仕事をこなせ。失敗すれば、お前を殺す。もし逃げれば…最近、お前が親しくしている子供を殺す」その瞬間、木崎は彼にとって、絶対的な運命の支配者となった。悪の快感に溺れた芥川賞作家が、圧倒的な緊迫感とディティールで描く、著者最高傑作にして驚愕の話題作。,1430,3.35,単行本
2717,老いの才覚,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6719175%2F,年の取り方を知らない老人が急増してきた！超高齢化の時代を迎える今、わがままな年寄こそ大問題。自立した老人になり人生を面白く生きるための７つの才覚の持ち方。,838,3.89,新書
2718,いつもみてるよ。がんばってるの、しってるよ。,179,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3737395%2F,ママがママだから、ボクはママをえらんだんだよ。がんばっているママへ。おなかの中から愛を込めて。見えないかもしれないけど、聞こえないかもしれないけど、妊娠中のツライとき、心細いとき、赤ちゃんはきっと一緒にがんばって、おなかの中からママを応援してくれています。めいっぱいの愛を込めて。,1320,4.64,単行本
